YEAR,JUN,JUL,AUG,SEP
1901,111,243.2,273.6,124.6
1902,109,282.8,201.8,201
1903,117,292,271.7,200.9
1904,165.2,263.1,205.2,131.7
1905,92.3,254.9,201.4,180
1906,177.6,284.8,248.2,183.1
1907,153.1,224.4,310.9,196.6
1908,126.5,325.3,313.2,152.9
1909,206.6,307.8,234.1,162.1
1910,212,246.5,288.7,185.3
1911,193.2,164,215.4,183.4
1912,106.7,330.6,262.5,119.3
1913,214.2,269.3,194.6,109.6
1914,156.5,351.3,242.2,194.2
1915,157,231.6,230.6,174.7
1916,232.3,270.6,313.7,200
1917,232.9,286,297.1,282.5
1918,212.7,187.5,249.6,113.3
1919,195.2,309.7,290.6,163
1920,163.7,297.5,193.4,123.1
1921,192.3,294.1,277.9,205.1
1922,205.3,318.3,220.1,204.4
1923,101.9,340,276.7,175.4
1924,134.6,331.1,258.7,239.2
1925,204.2,305.7,237.8,139.9
1926,97.5,320.1,336.1,211.3
1927,176.7,349.3,259.3,172.4
1928,178.6,304.8,233.4,145.9
1929,194.4,297.4,244.3,125.3
1930,180.2,291.3,213.3,174.9
1931,132.6,321.1,308.2,191
1932,141.6,332.7,239.3,182.5
1933,215.5,283.9,316.2,212.7
1934,215.7,287.4,298.9,166.6
1935,158.8,317.4,248.7,186.8
1936,246.6,293.1,240,195
1937,163.4,338.1,209.4,175.4
1938,274.6,304.8,254.2,170.8
1939,173.6,277.7,235.9,157.7
1940,175,310.3,283.4,125.8
1941,170.9,241.2,232,156.1
1942,190.7,343.7,293.3,182
1943,167.6,313.8,237.1,213
1944,155.6,355.4,291.5,156.9
1945,157.1,333.1,246.6,214.2
1946,213.6,317.9,296.7,144.7
1947,130.4,311.4,290.2,240.5
1948,162.1,344.9,282.4,178.3
1949,163.3,318,242.8,226.5
1950,133.9,332.9,233.5,204.6
1951,160.5,250,223.2,124
1952,163.9,285.6,257.1,119.1
1953,162,322.2,299.2,178
1954,141.4,295.3,230,246.9
1955,175.4,234.1,321.8,219.5
1956,209.8,363.8,261.4,165.7
1957,154.5,306.9,273.8,132.2
1958,122.8,317.8,321.6,230.7
1959,167.2,374.4,264.9,237.2
1960,157.6,317,252.9,181.8
1961,191.9,337.5,288,236.2
1962,135.2,281,276.1,210.8
1963,168.2,258.6,319.9,166.8
1964,175.6,344.7,273.5,199.5
1965,115.7,270.6,192.5,131
1966,177.8,251.9,217.1,147.9
1967,144.3,305.7,266.8,172.6
1968,148.3,316.1,216.7,128.9
1969,129.9,325.9,283.3,175.9
1970,216.9,254.2,321.2,216.1
1971,229.5,271.9,273.1,150.6
1972,122.5,207,222.6,129.9
1973,150.8,279.4,314.8,185.9
1974,127.8,286.3,233.3,144.6
1975,175.3,308.8,289.4,227
1976,158.5,295.5,296.5,143.5
1977,186.2,323.7,247.8,148.8
1978,207.5,287.1,283.1,163.4
1979,140.6,241,211.4,137.6
1980,231.2,295.8,266.1,146.1
1981,151.4,308.3,238.6,186.8
1982,136.7,231.5,277.2,126.2
1983,150.5,282.3,304.5,251.9
1984,191,286.6,263.8,145.2
1985,155.5,291.2,234.3,152.5
1986,185,261.5,229.4,125.5
1987,134.9,223.3,247.3,152
1988,157.8,376.3,301.1,218.3
1989,186.8,302.6,238.5,164.3
1990,191.3,288,292.6,197.6
1991,185.3,280.6,262.3,136.6
1992,137.1,267.2,286.2,168
1993,170.6,306.1,203.2,210.9
1994,204.5,352.4,287.4,150
1995,139.3,323.8,269.8,181
1996,186.5,266,299.5,148.8
1997,172.6,286.7,262.5,152.4
1998,163.6,286.3,253.5,207.6
1999,173.5,266,221.9,188.8
2000,185.2,268.5,225.8,135.5
2001,214.5,282.2,206.3,110.3
2002,171.1,140.3,245.2,139.1
2003,165.1,306.1,248.4,181.6
2004,168,241.3,256.6,124
2005,146.3,333.7,194,201.2
2006,151.2,294.5,299.7,181.5
2007,198.9,295.8,260.6,215.7
2008,212.1,256.5,266,168.3
2009,87.9,288.2,194.8,143.3
2010,140.8,298.4,273.1,198.4
2011,183.6,249.9,289.2,192.8
2012,122.4,257.9,262,199.4
2013,221.1,311.5,258,155.1
2014,92.8,266.7,234.6,190.1
2015,188.9,240.7,204.1,131.7
2016,147,308.4,239.4,168.8
2017,171.9,290.5,228.3,153
2018,155.7,273.8,240.5,132.3
2019,112.9,296.7,299.3,260.4
